name,email,joined_date,country,bet_status
Alice,alice@example.com,2026-05-01,Singapore,active
Bob,bob@example.com,2026-05-02,Australia,completed
Charlie,charlie@example.com,2026-05-02,Australia,active
David,david@example.com,2026-05-03,Singapore,completed
Emma,emma@example.com,2026-05-03,Malaysia,failed
Fiona,fiona@example.com,2026-05-04,Australia,active
George,george@example.com,2026-05-04,Singapore,active
Hannah,hannah@example.com,2026-05-05,Malaysia,completed
Ian,ian@example.com,2026-05-05,Australia,completed
Julia,julia@example.com,2026-05-06,Singapore,failed
Kevin,kevin@example.com,2026-05-06,Australia,active
Liam,liam@example.com,2026-05-07,Malaysia,active
Mia,mia@example.com,2026-05-07,Singapore,completed
Noah,noah@example.com,2026-05-08,Australia,completed
Olivia,olivia@example.com,2026-05-08,Malaysia,active
Peter,peter@example.com,2026-05-09,Singapore,active
Quinn,quinn@example.com,2026-05-09,Australia,failed
Ryan,ryan@example.com,2026-05-10,Malaysia,completed
Sophia,sophia@example.com,2026-05-10,Singapore,completed
Thomas,thomas@example.com,2026-05-11,Australia,active
Uma,uma@example.com,2026-05-11,Malaysia,failed
Victor,victor@example.com,2026-05-12,Singapore,active
